OrderID,OrderDateKey,CustomerID,ProductID,StoreID,Quantity,UnitPrice,DiscountPct,GrossSales,NetRevenue,COGS,Profit,PaymentMethod,PromoCode,ShipDays,ShipMode,ReturnedFlag
O0000028,20250610,C01768,P0113,S011,1,510,0.0861,510,510,370,140,Credit Card,NONE,1,Express,0
O0000029,20251127,C00466,P0135,S021,2,400,0.1983,800,800,560,240,UPI,FESTIVE15,2,Express,0
O0000030,20250323,C01112,P0005,S015,1,550,0.0905,550,550,410,140,UPI,NEWUSER10,4,Standard,0
O0000031,20251004,C02020,P0138,S019,2,30450,0.0289,60900,60900,43640,17260,UPI,NONE,1,Express,0
O0000032,20250630,C00812,P0044,S040,1,2370,0.0168,2370,2370,1600,770,UPI,NONE,4,Standard,0
O0000033,20250302,C00226,P0018,S041,2,38580,0.0181,77160,77160,54260,22900,Credit Card,NONE,4,Standard,0
O0000034,20250919,C02314,P0051,S027,2,560,0.06,1120,1120,680,440,UPI,NONE,2,Express,0
O0000035,20250512,C00246,P0179,S002,1,150,0,150,150,110,40,Debit Card,NONE,4,Standard,0
O0000036,20250227,C00154,P0053,S020,1,3160,0,3160,3160,1780,1380,Credit Card,NONE,1,Express,0
O0000037,20250916,C00625,P0015,S022,1,550,0.0744,550,550,360,190,Net Banking,BULK5,4,Standard,0
O0000038,20251009,C01879,P0014,S033,1,960,0.0385,960,960,580,380,UPI,NONE,2,Express,0
O0000039,20250429,C01636,P0160,S013,1,460,0.0384,460,460,270,190,Cash,NONE,2,Express,0
O0000040,20251219,C00589,P0118,S027,1,38310,0.1342,38310,38310,30310,8000,Credit Card,BULK5,3,Standard,0
O0000041,20250917,C00193,P0035,S034,1,120,0.1092,120,120,100,20,UPI,NEWUSER10,1,Express,0
O0000042,20250109,C02386,P0114,S026,3,440,0.1021,1320,1320,1080,240,UPI,NEWUSER10,4,Standard,0
O0000043,20250503,C00020,P0004,S038,2,440,0.0536,880,880,580,300,Credit Card,NONE,3,Standard,0
O0000044,20251222,C02312,P0123,S012,3,30,0.1056,90,90,60,30,Credit Card,NEWUSER10,5,Standard,0
O0000045,20250306,C01181,P0154,S028,4,1820,0.1207,7280,7280,6440,840,UPI,NEWUSER10,0,Express,0
O0000046,20251215,C00486,P0141,S021,1,140,0.029,140,140,90,50,UPI,NONE,5,Standard,0
O0000047,20250709,C00867,P0034,S019,2,240,0.1759,480,480,360,120,Credit Card,CLEARANCE20,1,Express,0
O0000048,20250904,C00777,P0064,S020,1,240,0.1004,240,240,190,50,UPI,NONE,3,Standard,0
O0000049,20250908,C00392,P0096,S025,2,2690,0.0565,5380,5380,3440,1940,UPI,NEWUSER10,7,Standard,0
O0000050,20250706,C01080,P0014,S024,1,940,0.063,940,940,580,360,Cash,NONE,1,Express,0
O0000051,20250708,C01640,P0149,S026,2,20,0,40,40,20,20,UPI,NONE,3,Standard,0
O0000052,20250727,C01182,P0110,S044,1,450,0,450,450,300,150,Credit Card,NONE,2,Express,0
O0000053,20250823,C01604,P0028,S029,2,90,0.1497,180,0,120,-120,Credit Card,FESTIVE15,2,Express,1
O0000054,20250927,C02426,P0136,S025,1,2950,0.1897,2950,2950,2230,720,Credit Card,FESTIVE15,2,Express,0
O0000055,20250609,C00305,P0134,S042,1,460,0.1327,460,460,360,100,Wallet,BANK10,0,Express,0
O0000056,20250609,C01848,P0029,S011,2,320,0,640,640,440,200,Credit Card,NONE,4,Standard,0
O0000057,20251012,C00575,P0096,S012,1,2710,0.0483,2710,2710,1720,990,UPI,NEWUSER10,3,Standard,0
O0000058,20251004,C00048,P0057,S006,2,170,0.0331,340,340,220,120,UPI,NONE,2,Express,0
O0000059,20250826,C00913,P0047,S010,2,650,0.0376,1300,1300,840,460,Debit Card,NONE,5,Standard,0
O0000060,20250618,C00984,P0146,S004,2,100,0.0984,200,200,160,40,UPI,NONE,4,Standard,0
O0000061,20250729,C02476,P0008,S009,2,410,0.1175,820,820,720,100,Net Banking,FESTIVE15,3,Standard,0
O0000062,20250728,C00861,P0077,S030,1,2770,0.0672,2770,2770,1990,780,UPI,NEWUSER10,4,Standard,0
O0000063,20250608,C01922,P0048,S032,2,150,0.1225,300,300,260,40,UPI,BANK10,4,Standard,0
O0000064,20250307,C02338,P0060,S030,3,630,0.1307,1890,1890,1590,300,Net Banking,NEWUSER10,3,Standard,0
O0000065,20250715,C00843,P0077,S041,1,2510,0.1563,2510,2510,1990,520,UPI,FESTIVE15,4,Standard,0
O0000066,20250611,C00448,P0105,S039,2,970,0.0004,1940,0,1360,-1360,Net Banking,NONE,4,Standard,1
O0000067,20250119,C02414,P0067,S015,1,110,0,110,110,80,30,Debit Card,NONE,3,Standard,0
O0000068,20251215,C01146,P0099,S009,1,370,0.0839,370,370,270,100,Debit Card,BANK10,2,Express,0
O0000069,20250901,C01138,P0130,S019,1,30,0.1253,30,30,20,10,UPI,NEWUSER10,2,Express,0
O0000070,20250211,C01822,P0033,S042,2,770,0.0401,1540,1540,1120,420,Credit Card,NONE,2,Express,0
O0000071,20250316,C00951,P0074,S044,1,21310,0.1606,21310,21310,17710,3600,Debit Card,CLEARANCE20,3,Standard,0
O0000072,20250728,C01354,P0097,S010,2,2910,0,5820,5820,3600,2220,UPI,NONE,4,Standard,0
O0000073,20251110,C02361,P0069,S007,1,15720,0.163,15720,15720,13660,2060,Debit Card,FESTIVE15,5,Standard,0
O0000074,20250627,C00122,P0100,S034,1,22710,0.0198,22710,22710,15370,7340,Credit Card,NONE,4,Standard,0
O0000075,20251024,C01841,P0147,S040,4,32610,0.0669,130440,130440,104760,25680,UPI,NONE,5,Standard,0
O0000076,20250216,C00993,P0111,S043,1,4220,0.0611,4220,4220,2820,1400,UPI,NONE,1,Express,0
O0000077,20250712,C01370,P0084,S044,1,220,0.1346,220,220,190,30,UPI,FESTIVE15,5,Standard,0
O0000078,20251029,C02276,P0120,S013,1,24380,0.0726,24380,24380,16520,7860,UPI,NONE,5,Standard,0
O0000079,20251106,C01502,P0178,S036,1,17150,0,17150,17150,12250,4900,Wallet,NONE,1,Express,0
O0000080,20250329,C01048,P0004,S031,2,450,0.0523,900,900,580,320,UPI,NONE,1,Express,0
O0000081,20250902,C02433,P0104,S016,1,21380,0.0901,21380,21380,16370,5010,Credit Card,BULK5,2,Express,0
O0000082,20250115,C01514,P0001,S001,2,21140,0.0304,42280,42280,29720,12560,Credit Card,NONE,4,Standard,0
O0000083,20250221,C00383,P0169,S030,1,2700,0.1247,2700,2700,2090,610,Credit Card,NONE,0,Express,0
O0000084,20251125,C00223,P0133,S017,2,28720,0.0588,57440,57440,37880,19560,Credit Card,NONE,4,Standard,0
O0000085,20250928,C00868,P0159,S014,1,670,0.0303,670,670,400,270,Debit Card,NONE,4,Standard,0
O0000086,20250317,C01796,P0103,S001,1,40,0.0507,40,40,30,10,Net Banking,NEWUSER10,6,Standard,0
O0000087,20251230,C01053,P0075,S006,2,30,0.0809,60,60,40,20,Debit Card,BANK10,6,Standard,0
O0000088,20251229,C00422,P0001,S009,1,20250,0.0711,20250,20250,14860,5390,UPI,NONE,3,Standard,0
O0000089,20250115,C02462,P0111,S005,1,3870,0.1375,3870,3870,2820,1050,Debit Card,FESTIVE15,2,Express,0
O0000090,20250110,C00496,P0164,S043,3,120,0.0533,360,360,270,90,Credit Card,NONE,5,Standard,0
O0000091,20250331,C00211,P0026,S001,4,510,0.0605,2040,0,1400,-1400,UPI,NONE,5,Standard,1
O0000092,20251017,C00954,P0044,S018,1,2290,0.0505,2290,2290,1600,690,Debit Card,NONE,4,Standard,0
O0000093,20250807,C00280,P0095,S045,3,130,0.0582,390,390,240,150,UPI,BANK10,1,Express,0
O0000094,20250707,C01481,P0097,S006,2,2620,0.0997,5240,5240,3600,1640,Credit Card,BULK5,3,Standard,0
O0000095,20250601,C01089,P0077,S030,4,2930,0.015,11720,11720,7960,3760,Credit Card,NONE,2,Express,0
O0000096,20250625,C02317,P0027,S012,2,320,0.1082,640,640,480,160,Credit Card,NEWUSER10,1,Express,0
O0000097,20250821,C00424,P0088,S015,1,150,0.0147,150,150,90,60,Net Banking,NONE,4,Standard,0
O0000098,20250124,C00673,P0091,S020,4,470,0.1663,1880,1880,1480,400,UPI,FESTIVE15,2,Express,0
O0000099,20250803,C01713,P0034,S027,1,240,0.1669,240,0,180,-180,Credit Card,CLEARANCE20,7,Standard,1
O0000100,20250322,C01745,P0110,S035,1,400,0.1128,400,400,300,100,Credit Card,BANK10,2,Express,0
O0000101,20251015,C00902,P0156,S028,1,780,0.0598,780,780,600,180,UPI,NEWUSER10,0,Express,0
O0000102,20250313,C02305,P0016,S001,1,170,0.0582,170,170,110,60,Wallet,NONE,4,Standard,0
O0000103,20250126,C02116,P0015,S009,1,590,0.0052,590,590,360,230,Net Banking,NONE,6,Standard,0
O0000104,20250608,C01530,P0103,S029,1,40,0.0373,40,40,30,10,Cash,NONE,3,Standard,0
O0000105,20250610,C01872,P0141,S013,3,130,0.0505,390,390,270,120,UPI,NONE,2,Express,0
O0000106,20250709,C01340,P0019,S003,2,140,0.0075,280,280,200,80,UPI,NONE,1,Express,0
O0000107,20251110,C01178,P0170,S025,1,11100,0.113,11100,11100,9190,1910,Debit Card,NEWUSER10,1,Express,0
O0000108,20250913,C01365,P0086,S015,2,230,0.0483,460,460,320,140,Debit Card,NONE,2,Express,0
O0000109,20250513,C02113,P0020,S038,3,400,0.1552,1200,1200,900,300,Credit Card,FESTIVE15,2,Express,0
O0000110,20250923,C00041,P0081,S041,1,120,0.1645,120,120,110,10,Credit Card,FESTIVE15,3,Standard,0
O0000111,20250703,C00253,P0079,S006,1,480,0.0315,480,480,290,190,Cash,NONE,3,Standard,0
O0000112,20250323,C01187,P0071,S035,4,590,0.1168,2360,2360,1880,480,Cash,BANK10,3,Standard,0
O0000113,20250108,C01453,P0106,S039,1,160,0.1401,160,160,130,30,Debit Card,BULK5,2,Express,0
O0000114,20250102,C00450,P0045,S029,1,12180,0.0152,12180,12180,8280,3900,Debit Card,NONE,3,Standard,0
O0000115,20250323,C01513,P0179,S028,1,140,0.083,140,140,110,30,Credit Card,BULK5,5,Standard,0
O0000116,20251026,C00062,P0052,S021,5,42810,0.0679,214050,214050,170800,43250,UPI,BULK5,0,Express,0
O0000117,20250619,C00616,P0156,S023,1,780,0.0613,780,780,600,180,UPI,NONE,2,Express,0
O0000118,20250614,C01150,P0148,S004,3,150,0,450,450,270,180,UPI,NONE,3,Standard,0
O0000119,20250526,C00125,P0075,S007,2,30,0,60,60,40,20,Debit Card,NONE,2,Express,0
O0000120,20250404,C01585,P0035,S031,1,130,0.0322,130,130,100,30,UPI,NONE,6,Standard,0
O0000121,20250918,C01338,P0175,S025,3,190,0.1916,570,570,390,180,Cash,CLEARANCE20,1,Express,0
O0000122,20250105,C01414,P0104,S008,1,21720,0.0758,21720,21720,16370,5350,Credit Card,BANK10,0,Express,0
O0000123,20250812,C01285,P0060,S016,2,550,0.2346,1100,1100,1060,40,Debit Card,FESTIVE15,5,Standard,0
O0000124,20251208,C01729,P0028,S030,1,100,0,100,100,60,40,UPI,NONE,1,Express,0
O0000125,20251118,C01635,P0062,S009,3,790,0.082,2370,2370,1650,720,UPI,NONE,2,Express,0
O0000126,20250515,C01651,P0118,S010,1,39570,0.1057,39570,39570,30310,9260,Net Banking,NEWUSER10,4,Standard,0
O0000127,20251108,C00533,P0092,S040,1,70,0.0171,70,70,40,30,Wallet,NONE,5,Standard,0
O0000128,20250328,C01719,P0012,S021,2,100,0.0989,200,200,140,60,UPI,NEWUSER10,2,Express,0
O0000129,20250330,C00450,P0141,S021,3,140,0,420,420,270,150,Cash,NONE,2,Express,0
O0000130,20250506,C00054,P0058,S004,3,28650,0.2232,85950,85950,79740,6210,Cash,CLEARANCE20,1,Express,0
O0000131,20250107,C02445,P0035,S004,1,130,0.0241,130,130,100,30,UPI,NONE,3,Standard,0
O0000132,20250407,C00447,P0126,S030,1,410,0.1016,410,410,320,90,Credit Card,NONE,6,Standard,0
O0000133,20251108,C00285,P0134,S014,1,530,0,530,530,360,170,UPI,NONE,2,Express,0
O0000134,20251006,C00758,P0148,S013,1,150,0.0056,150,150,90,60,UPI,NONE,2,Express,0
O0000135,20250501,C02499,P0001,S009,4,20650,0.0526,82600,82600,59440,23160,Debit Card,NONE,3,Standard,0
O0000136,20250425,C02161,P0070,S034,2,660,0.0945,1320,1320,900,420,Debit Card,NEWUSER10,4,Standard,0
O0000137,20250507,C01800,P0048,S043,1,160,0.0827,160,160,130,30,Credit Card,BANK10,5,Standard,0
O0000138,20250213,C00471,P0105,S012,1,860,0.1179,860,860,680,180,Credit Card,BULK5,3,Standard,0
O0000139,20250227,C01574,P0176,S011,1,190,0.1447,190,190,130,60,Wallet,FESTIVE15,6,Standard,0
O0000140,20251229,C02083,P0022,S036,1,3100,0.2036,3100,3100,2330,770,UPI,CLEARANCE20,4,Standard,0
O0000141,20250910,C00850,P0119,S023,4,1650,0.0866,6600,6600,5400,1200,Wallet,NONE,3,Standard,0
O0000142,20250905,C00649,P0080,S036,1,30,0.1161,30,30,20,10,Credit Card,BULK5,3,Standard,0
O0000143,20250413,C02170,P0084,S034,1,250,0,250,250,190,60,Cash,NONE,0,Express,0
O0000144,20251109,C00329,P0170,S036,1,11360,0.0917,11360,11360,9190,2170,Cash,NEWUSER10,2,Express,0
O0000145,20250306,C02276,P0132,S008,1,190,0.1699,190,190,150,40,UPI,BULK5,2,Express,0
O0000146,20251220,C01198,P0018,S025,1,36940,0.0599,36940,36940,27130,9810,Debit Card,NEWUSER10,3,Standard,0
O0000147,20250703,C01805,P0079,S020,1,500,0,500,500,290,210,Credit Card,NONE,2,Express,0
O0000148,20250501,C00931,P0134,S040,1,530,0,530,530,360,170,UPI,NONE,1,Express,0
O0000149,20251001,C01775,P0020,S030,5,430,0.084,2150,2150,1500,650,UPI,BANK10,5,Standard,0
O0000150,20250602,C02313,P0092,S034,1,70,0.0695,70,70,40,30,Credit Card,BANK10,0,Express,0
O0000151,20250409,C01233,P0090,S040,3,130,0.1114,390,390,300,90,Debit Card,FESTIVE15,7,Standard,0
O0000152,20250907,C00531,P0014,S032,1,970,0.0295,970,970,580,390,UPI,NONE,1,Express,0
O0000153,20250921,C00195,P0172,S030,1,22490,0.0401,22490,22490,17320,5170,Cash,NONE,3,Standard,0
O0000154,20250809,C02315,P0067,S024,2,100,0.0667,200,200,160,40,Credit Card,NONE,1,Express,0
O0000155,20250618,C02498,P0050,S004,1,820,0.0473,820,820,500,320,UPI,NONE,2,Express,0
O0000156,20250501,C01628,P0017,S033,1,70,0.0344,70,70,50,20,Net Banking,NONE,4,Standard,0
O0000157,20250528,C00039,P0010,S015,1,15680,0.0406,15680,15680,10900,4780,Cash,NONE,2,Express,0
O0000158,20251116,C02213,P0036,S006,1,26350,0.0769,26350,26350,19310,7040,UPI,NEWUSER10,2,Express,0
O0000159,20250512,C01239,P0134,S016,3,500,0.0541,1500,0,1080,-1080,Credit Card,NONE,5,Standard,1
O0000160,20251220,C00585,P0049,S016,1,1060,0,1060,1060,700,360,Debit Card,NONE,6,Standard,0
O0000161,20250223,C00918,P0082,S018,1,360,0.0404,360,360,250,110,UPI,NONE,3,Standard,0
O0000162,20250301,C02355,P0120,S013,2,22950,0.1271,45900,0,33040,-33040,Debit Card,FESTIVE15,0,Express,1
O0000163,20250502,C01941,P0061,S043,1,100,0,100,100,70,30,UPI,NONE,3,Standard,0
O0000164,20250102,C01493,P0074,S040,1,23040,0.0925,23040,0,17710,-17710,UPI,NEWUSER10,3,Standard,1
O0000165,20251117,C01840,P0088,S002,1,140,0.0759,140,140,90,50,Debit Card,NONE,3,Standard,0
O0000166,20250505,C02120,P0163,S023,3,20,0.1024,60,60,60,0,UPI,NONE,4,Standard,0
O0000167,20250207,C01571,P0168,S014,4,7490,0.1094,29960,29960,19160,10800,Debit Card,BULK5,5,Standard,0
O0000168,20250814,C00785,P0053,S039,4,3140,0.0069,12560,12560,7120,5440,UPI,NONE,2,Express,0
O0000169,20251216,C00187,P0046,S023,1,80,0.1007,80,80,70,10,UPI,NEWUSER10,3,Standard,0
O0000170,20251229,C00308,P0073,S029,1,100,0.0429,100,100,60,40,UPI,NONE,3,Standard,0
O0000171,20250209,C00593,P0037,S004,3,80,0.0626,240,0,180,-180,Wallet,NONE,6,Standard,1
O0000172,20251017,C01922,P0103,S033,3,40,0.0925,120,120,90,30,Cash,NONE,5,Standard,0
O0000173,20250513,C00236,P0097,S022,1,2840,0.025,2840,2840,1800,1040,Debit Card,NONE,2,Express,0
O0000174,20251102,C00318,P0084,S040,1,250,0.0021,250,250,190,60,UPI,NONE,1,Express,0
O0000175,20250810,C02448,P0084,S005,1,200,0.1943,200,200,190,10,Credit Card,CLEARANCE20,2,Express,0
O0000176,20250925,C01001,P0155,S014,1,380,0.0491,380,380,250,130,UPI,NONE,3,Standard,0
O0000177,20251102,C00320,P0027,S038,1,300,0.18,300,300,240,60,Cash,NEWUSER10,3,Standard,0
O0000178,20251123,C02182,P0138,S011,3,28750,0.0831,86250,86250,65460,20790,UPI,NONE,2,Express,0
O0000179,20250222,C02418,P0105,S013,3,830,0.1479,2490,2490,2040,450,Credit Card,FESTIVE15,2,Express,0
O0000180,20250922,C01261,P0143,S014,1,1810,0.0511,1810,1810,1450,360,UPI,BANK10,5,Standard,0
O0000181,20250221,C00282,P0104,S024,1,22720,0.0334,22720,22720,16370,6350,Debit Card,NONE,0,Express,0
O0000182,20251211,C01569,P0139,S003,1,1310,0.0891,1310,1310,1120,190,UPI,BANK10,5,Standard,0
O0000183,20250818,C02156,P0109,S028,1,490,0.119,490,490,360,130,Net Banking,BANK10,3,Standard,0
O0000184,20250312,C02414,P0129,S037,1,20,0.04,20,20,10,10,UPI,BANK10,2,Express,0
O0000185,20250417,C01437,P0075,S014,1,30,0.0843,30,30,20,10,Debit Card,NONE,3,Standard,0
O0000186,20251123,C02361,P0161,S008,3,40,0.1073,120,120,120,0,Credit Card,FESTIVE15,5,Standard,0
O0000187,20250824,C02080,P0053,S016,3,2940,0.0707,8820,8820,5340,3480,Credit Card,NONE,4,Standard,0
O0000188,20250325,C00404,P0130,S030,4,30,0.0597,120,120,80,40,Debit Card,NONE,2,Express,0
O0000189,20251027,C01586,P0060,S023,2,700,0.029,1400,1400,1060,340,Cash,NONE,2,Express,0
O0000190,20250920,C01665,P0143,S028,2,1870,0.0205,3740,3740,2900,840,Credit Card,NONE,3,Standard,0
O0000191,20250129,C01923,P0151,S037,2,10,0.1216,20,20,20,0,UPI,NEWUSER10,4,Standard,0
O0000192,20250414,C01329,P0034,S043,2,260,0.099,520,520,360,160,UPI,NONE,1,Express,0
O0000193,20251105,C01828,P0113,S021,1,560,0,560,560,370,190,UPI,NONE,2,Express,0
O0000194,20250509,C01461,P0096,S035,1,2710,0.0508,2710,2710,1720,990,UPI,NONE,3,Standard,0
O0000195,20250114,C00651,P0072,S023,1,14250,0.142,14250,14250,11830,2420,Net Banking,BULK5,3,Standard,0
O0000196,20250809,C01211,P0051,S007,2,550,0.0898,1100,1100,680,420,UPI,BANK10,3,Standard,0
O0000197,20251125,C02338,P0111,S027,1,4270,0.048,4270,4270,2820,1450,Debit Card,NONE,3,Standard,0
O0000198,20250723,C02107,P0149,S043,1,20,0.044,20,20,10,10,Credit Card,NONE,0,Express,0
O0000199,20251223,C01610,P0063,S020,3,3630,0,10890,10890,6360,4530,Net Banking,NONE,0,Express,0
O0000200,20250211,C00805,P0061,S025,1,100,0.0332,100,100,70,30,UPI,NONE,5,Standard,0
O0000201,20250901,C00506,P0156,S033,1,820,0.0088,820,820,600,220,Cash,NONE,3,Standard,0
O0000202,20250826,C00714,P0136,S038,5,3350,0.0792,16750,16750,11150,5600,UPI,BULK5,3,Standard,0
O0000203,20251226,C00766,P0131,S001,1,330,0.0849,330,330,270,60,UPI,BULK5,0,Express,0
O0000204,20250710,C02405,P0107,S003,1,150,0.0674,150,150,120,30,Net Banking,NONE,0,Express,0
O0000205,20251028,C01333,P0019,S022,2,130,0.0403,260,260,200,60,UPI,NONE,4,Standard,0
O0000206,20250223,C00978,P0028,S006,5,90,0.0895,450,450,300,150,Net Banking,NONE,5,Standard,0
O0000207,20250117,C02205,P0011,S042,1,390,0.0876,390,390,280,110,Debit Card,NONE,2,Express,0
O0000208,20250919,C00923,P0057,S032,1,150,0.1571,150,150,110,40,Debit Card,FESTIVE15,4,Standard,0
O0000209,20250102,C01992,P0007,S028,1,23560,0.1938,23560,23560,20430,3130,Credit Card,FESTIVE15,5,Standard,0
O0000210,20251116,C01604,P0085,S027,1,30,0.0142,30,30,20,10,Credit Card,NONE,3,Standard,0
O0000211,20250108,C00756,P0005,S022,2,550,0.0876,1100,1100,820,280,Credit Card,NONE,5,Standard,0
O0000212,20250909,C02403,P0180,S003,5,300,0.0055,1500,1500,1100,400,Credit Card,NONE,3,Standard,0
O0000213,20250614,C01722,P0090,S035,2,130,0.11,260,260,200,60,UPI,BANK10,4,Standard,0
O0000214,20250824,C02475,P0003,S022,1,240,0.0835,240,240,200,40,UPI,NONE,6,Standard,0
O0000215,20250816,C00005,P0033,S018,2,800,0,1600,1600,1120,480,UPI,NONE,4,Standard,0
O0000216,20250612,C00703,P0034,S020,2,260,0.0896,520,520,360,160,UPI,NONE,3,Standard,0
O0000217,20250625,C00832,P0122,S022,1,30,0.0019,30,30,20,10,Cash,NONE,2,Express,0
O0000218,20250703,C01686,P0139,S043,2,1290,0.1043,2580,2580,2240,340,Debit Card,NEWUSER10,5,Standard,0
O0000219,20250905,C02099,P0087,S009,1,31560,0.0166,31560,0,20550,-20550,UPI,NONE,4,Standard,1
O0000220,20250917,C00304,P0131,S008,2,350,0.0232,700,700,540,160,UPI,NONE,4,Standard,0
O0000221,20250614,C00379,P0017,S006,2,60,0.118,120,120,100,20,Credit Card,BANK10,3,Standard,0
O0000222,20250509,C01688,P0057,S028,1,180,0.0063,180,0,110,-110,UPI,NONE,5,Standard,1
O0000223,20250116,C00884,P0002,S002,2,490,0.0846,980,980,620,360,Credit Card,NONE,2,Express,0
O0000224,20251012,C01747,P0074,S036,1,25390,0,25390,25390,17710,7680,UPI,NONE,2,Express,0
O0000225,20250324,C00003,P0007,S033,1,27040,0.0747,27040,27040,20430,6610,Net Banking,BULK5,2,Express,0
O0000226,20250608,C01309,P0143,S032,1,1670,0.1273,1670,1670,1450,220,Debit Card,BANK10,4,Standard,0
O0000227,20251229,C00058,P0097,S022,5,2630,0.0962,13150,13150,9000,4150,Wallet,BULK5,2,Express,0
O0000228,20251014,C02379,P0136,S019,1,3460,0.0506,3460,3460,2230,1230,UPI,NONE,2,Express,0
O0000229,20250507,C00366,P0106,S043,2,180,0.0542,360,360,260,100,UPI,NONE,3,Standard,0
O0000230,20250623,C00445,P0007,S038,1,29220,0,29220,0,20430,-20430,Debit Card,NONE,2,Express,1
O0000231,20250429,C00255,P0064,S008,1,210,0.2182,210,210,190,20,Debit Card,CLEARANCE20,4,Standard,0
O0000232,20250817,C00552,P0003,S012,1,220,0.1439,220,220,200,20,Debit Card,CLEARANCE20,2,Express,0
O0000233,20250225,C01225,P0015,S011,1,470,0.1994,470,470,360,110,Debit Card,FESTIVE15,5,Standard,0
O0000234,20251214,C01544,P0170,S022,2,10310,0.1762,20620,20620,18380,2240,Wallet,BANK10,5,Standard,0
O0000235,20251227,C02251,P0169,S029,1,2870,0.0697,2870,2870,2090,780,UPI,NEWUSER10,6,Standard,0
O0000236,20250419,C02195,P0022,S010,2,3340,0.1423,6680,6680,4660,2020,UPI,NEWUSER10,1,Express,0
O0000237,20250326,C00212,P0074,S003,2,21560,0.151,43120,43120,35420,7700,Debit Card,FESTIVE15,3,Standard,0
O0000238,20250716,C01070,P0053,S018,1,3120,0.012,3120,3120,1780,1340,UPI,NONE,5,Standard,0
O0000239,20250825,C02175,P0078,S023,1,3900,0.0785,3900,3900,2490,1410,UPI,NEWUSER10,6,Standard,0
O0000240,20250823,C00414,P0110,S031,1,450,0,450,450,300,150,UPI,NONE,1,Express,0
O0000241,20250116,C01671,P0069,S006,2,17620,0.062,35240,35240,27320,7920,Credit Card,BANK10,4,Standard,0
O0000242,20250917,C01067,P0147,S032,3,34350,0.0172,103050,103050,78570,24480,UPI,NONE,4,Standard,0
O0000243,20250125,C00423,P0011,S008,1,390,0.0993,390,390,280,110,Net Banking,NEWUSER10,4,Standard,0
O0000244,20250505,C00155,P0106,S014,1,180,0.0664,180,180,130,50,Cash,NONE,2,Express,0
